left_path,right_path,label,chromosome_id,case_id,pair_key,left_single_label,right_single_label,left_filename,right_filename,abnormal_type
/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_11/183079.14~A11.K_11L.png,/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_11/183079.14~A11.K_11R.png,0,11,183079,183079.14~A11.K_11,0,0,183079.14~A11.K_11L.png,183079.14~A11.K_11R.png,normal
/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_03/Q250230M.1~A23.K_3L.png,/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_03/Q250230M.1~A23.K_3R.png,0,3,Q250230M,Q250230M.1~A23.K_3,0,0,Q250230M.1~A23.K_3L.png,Q250230M.1~A23.K_3R.png,normal
/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_04/79488.4~A11.K_4L.png,/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_04/79488.4~A11.K_4R.png,0,4,79488,79488.4~A11.K_4,0,0,79488.4~A11.K_4L.png,79488.4~A11.K_4R.png,normal
/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_12/183426.4~A39.K_12L.png,/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_12/183426.4~A39.K_12R.png,0,12,183426,183426.4~A39.K_12,0,0,183426.4~A39.K_12L.png,183426.4~A39.K_12R.png,normal
/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_12/180371.2~A15.K_12L.png,/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_12/180371.2~A15.K_12R.png,0,12,180371,180371.2~A15.K_12,0,0,180371.2~A15.K_12L.png,180371.2~A15.K_12R.png,normal
/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_22/Q250870.3~A35.K_22L.png,/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_22/Q250870.3~A35.K_22R.png,0,22,Q250870,Q250870.3~A35.K_22,0,0,Q250870.3~A35.K_22L.png,Q250870.3~A35.K_22R.png,normal
/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_x/183262.14~A8.K_xL.png,/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_x/183262.14~A8.K_xR.png,0,X,183262,183262.14~A8.K_x,0,0,183262.14~A8.K_xL.png,183262.14~A8.K_xR.png,normal
/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_16/75263.385A.K_16L.png,/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_16/75263.385A.K_16R.png,0,16,75263,75263.385A.K_16,0,0,75263.385A.K_16L.png,75263.385A.K_16R.png,normal
/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_11/183214.4~A50.K_11L.png,/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_11/183214.4~A50.K_11R.png,0,11,183214,183214.4~A50.K_11,0,0,183214.4~A50.K_11L.png,183214.4~A50.K_11R.png,normal
/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_03/Q242362M.5~A5.K_3L.png,/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_03/Q242362M.5~A5.K_3R.png,0,3,Q242362M,Q242362M.5~A5.K_3,0,0,Q242362M.5~A5.K_3L.png,Q242362M.5~A5.K_3R.png,normal
/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_07/Q251136.14~A17.K_7L.png,/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_07/Q251136.14~A17.K_7R.png,0,7,Q251136,Q251136.14~A17.K_7,0,0,Q251136.14~A17.K_7L.png,Q251136.14~A17.K_7R.png,normal
/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_03/183079.14~A11.K_3L.png,/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_03/183079.14~A11.K_3R.png,0,3,183079,183079.14~A11.K_3,0,0,183079.14~A11.K_3L.png,183079.14~A11.K_3R.png,normal
/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_18/183262.3~A30.K_18L.png,/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_18/183262.3~A30.K_18R.png,0,18,183262,183262.3~A30.K_18,0,0,183262.3~A30.K_18L.png,183262.3~A30.K_18R.png,normal
/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_01/169598.12~A50.K_1L.png,/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_01/169598.12~A50.K_1R.png,0,1,169598,169598.12~A50.K_1,0,0,169598.12~A50.K_1L.png,169598.12~A50.K_1R.png,normal
/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_05/Q251136.3~A16.K_5L.png,/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_05/Q251136.3~A16.K_5R.png,0,5,Q251136,Q251136.3~A16.K_5,0,0,Q251136.3~A16.K_5L.png,Q251136.3~A16.K_5R.png,normal
/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_07/183079.3~A5.K_7L.png,/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_07/183079.3~A5.K_7R.png,0,7,183079,183079.3~A5.K_7,0,0,183079.3~A5.K_7L.png,183079.3~A5.K_7R.png,normal
/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_17/184752.11~A43.K_17L.png,/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_17/184752.11~A43.K_17R.png,0,17,184752,184752.11~A43.K_17,0,0,184752.11~A43.K_17L.png,184752.11~A43.K_17R.png,normal
/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_10/Q250870.4~A1.K_10L.png,/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_10/Q250870.4~A1.K_10R.png,0,10,Q250870,Q250870.4~A1.K_10,0,0,Q250870.4~A1.K_10L.png,Q250870.4~A1.K_10R.png,normal
/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_05/182747.12~A4.K_5L.png,/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_05/182747.12~A4.K_5R.png,0,5,182747,182747.12~A4.K_5,0,0,182747.12~A4.K_5L.png,182747.12~A4.K_5R.png,normal
/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_03/79488.2~A18.K_3L.png,/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_03/79488.2~A18.K_3R.png,0,3,79488,79488.2~A18.K_3,0,0,79488.2~A18.K_3L.png,79488.2~A18.K_3R.png,normal
/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_17/183426.4~A39.K_17L.png,/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_17/183426.4~A39.K_17R.png,0,17,183426,183426.4~A39.K_17,0,0,183426.4~A39.K_17L.png,183426.4~A39.K_17R.png,normal
/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_16/Q242362M.5~A21.K_16L.png,/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_16/Q242362M.5~A21.K_16R.png,0,16,Q242362M,Q242362M.5~A21.K_16,0,0,Q242362M.5~A21.K_16L.png,Q242362M.5~A21.K_16R.png,normal
/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_15/Q242362.14~A13.K_15L.png,/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_15/Q242362.14~A13.K_15R.png,0,15,Q242362,Q242362.14~A13.K_15,0,0,Q242362.14~A13.K_15L.png,Q242362.14~A13.K_15R.png,normal
/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_13/183786.13~A34.K_13L.png,/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_13/183786.13~A34.K_13R.png,0,13,183786,183786.13~A34.K_13,0,0,183786.13~A34.K_13L.png,183786.13~A34.K_13R.png,normal
/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_07/75263.231A.K_7L.png,/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_07/75263.231A.K_7R.png,0,7,75263,75263.231A.K_7,0,0,75263.231A.K_7L.png,75263.231A.K_7R.png,normal
/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_16/Q251136.3~A40.K_16L.png,/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_16/Q251136.3~A40.K_16R.png,0,16,Q251136,Q251136.3~A40.K_16,0,0,Q251136.3~A40.K_16L.png,Q251136.3~A40.K_16R.png,normal
/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_03/183214.4~A50.K_3L.png,/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_03/183214.4~A50.K_3R.png,0,3,183214,183214.4~A50.K_3,0,0,183214.4~A50.K_3L.png,183214.4~A50.K_3R.png,normal
/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_04/183426.13~A48.K_4L.png,/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_04/183426.13~A48.K_4R.png,0,4,183426,183426.13~A48.K_4,0,0,183426.13~A48.K_4L.png,183426.13~A48.K_4R.png,normal
/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_07/169598.13~A40.K_7L.png,/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_07/169598.13~A40.K_7R.png,0,7,169598,169598.13~A40.K_7,0,0,169598.13~A40.K_7L.png,169598.13~A40.K_7R.png,normal
/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_01/Q250230.11~A30.K_1L.png,/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_01/Q250230.11~A30.K_1R.png,0,1,Q250230,Q250230.11~A30.K_1,0,0,Q250230.11~A30.K_1L.png,Q250230.11~A30.K_1R.png,normal
/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_07/Q250870.13~A6.K_7L.png,/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_07/Q250870.13~A6.K_7R.png,0,7,Q250870,Q250870.13~A6.K_7,0,0,Q250870.13~A6.K_7L.png,Q250870.13~A6.K_7R.png,normal
/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_13/Q250870.14~A15.K_13L.png,/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_13/Q250870.14~A15.K_13R.png,0,13,Q250870,Q250870.14~A15.K_13,0,0,Q250870.14~A15.K_13L.png,Q250870.14~A15.K_13R.png,normal
/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_04/180371.4~A44.K_4L.png,/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_04/180371.4~A44.K_4R.png,0,4,180371,180371.4~A44.K_4,0,0,180371.4~A44.K_4L.png,180371.4~A44.K_4R.png,normal
/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_09/169598.12~A16.K_9L.png,/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_09/169598.12~A16.K_9R.png,0,9,169598,169598.12~A16.K_9,0,0,169598.12~A16.K_9L.png,169598.12~A16.K_9R.png,normal
/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_04/M182418.2~A2.K_4L.png,/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_04/M182418.2~A2.K_4R.png,0,4,M182418,M182418.2~A2.K_4,0,0,M182418.2~A2.K_4L.png,M182418.2~A2.K_4R.png,normal
/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_15/182747.4~A43.K_15L.png,/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_15/182747.4~A43.K_15R.png,0,15,182747,182747.4~A43.K_15,0,0,182747.4~A43.K_15L.png,182747.4~A43.K_15R.png,normal
/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_16/183262.4~A24.K_16L.png,/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_16/183262.4~A24.K_16R.png,0,16,183262,183262.4~A24.K_16,0,0,183262.4~A24.K_16L.png,183262.4~A24.K_16R.png,normal
/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_21/76018.2~A12.K_21L.png,/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_21/76018.2~A12.K_21R.png,0,21,76018,76018.2~A12.K_21,0,0,76018.2~A12.K_21L.png,76018.2~A12.K_21R.png,normal
/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_22/185824.13~A14.K_22L.png,/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_22/185824.13~A14.K_22R.png,0,22,185824,185824.13~A14.K_22,0,0,185824.13~A14.K_22L.png,185824.13~A14.K_22R.png,normal
/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_03/Q242664M.3~A38.K_3L.png,/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_03/Q242664M.3~A38.K_3R.png,0,3,Q242664M,Q242664M.3~A38.K_3,0,0,Q242664M.3~A38.K_3L.png,Q242664M.3~A38.K_3R.png,normal
/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_02/Q250230.13~A45.K_2L.png,/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_02/Q250230.13~A45.K_2R.png,0,2,Q250230,Q250230.13~A45.K_2,0,0,Q250230.13~A45.K_2L.png,Q250230.13~A45.K_2R.png,normal
/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_22/184793.14~A9.K_22L.png,/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_22_inversion/184793.14~A9.K_22R.png,1,22,184793,184793.14~A9.K_22,0,1,184793.14~A9.K_22L.png,184793.14~A9.K_22R.png,inversion
/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_06/183786.3~A25.K_6L.png,/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_06/183786.3~A25.K_6R.png,0,6,183786,183786.3~A25.K_6,0,0,183786.3~A25.K_6L.png,183786.3~A25.K_6R.png,normal
/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_14/184752.14~A14.K_14L.png,/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_14/184752.14~A14.K_14R.png,0,14,184752,184752.14~A14.K_14,0,0,184752.14~A14.K_14L.png,184752.14~A14.K_14R.png,normal
/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_21/179083.2~A3.K_21L.png,/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_21/179083.2~A3.K_21R.png,0,21,179083,179083.2~A3.K_21,0,0,179083.2~A3.K_21L.png,179083.2~A3.K_21R.png,normal
/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_22/186193.2~A24.K_22L.png,/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_22/186193.2~A24.K_22R.png,0,22,186193,186193.2~A24.K_22,0,0,186193.2~A24.K_22L.png,186193.2~A24.K_22R.png,normal
/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_07/183262.11~A16.K_7L.png,/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_07/183262.11~A16.K_7R.png,0,7,183262,183262.11~A16.K_7,0,0,183262.11~A16.K_7L.png,183262.11~A16.K_7R.png,normal
/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_03/Q250870.14~A15.K_3L.png,/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_03/Q250870.14~A15.K_3R.png,0,3,Q250870,Q250870.14~A15.K_3,0,0,Q250870.14~A15.K_3L.png,Q250870.14~A15.K_3R.png,normal
/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_13/183262.1~A26.K_13L.png,/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_13/183262.1~A26.K_13R.png,0,13,183262,183262.1~A26.K_13,0,0,183262.1~A26.K_13L.png,183262.1~A26.K_13R.png,normal
/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_07/Q242362M.3~A4.K_7L.png,/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_07/Q242362M.3~A4.K_7R.png,0,7,Q242362M,Q242362M.3~A4.K_7,0,0,Q242362M.3~A4.K_7L.png,Q242362M.3~A4.K_7R.png,normal
/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_11/183786.14~A24.K_11L.png,/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_11/183786.14~A24.K_11R.png,0,11,183786,183786.14~A24.K_11,0,0,183786.14~A24.K_11L.png,183786.14~A24.K_11R.png,normal
/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_04/165070.13~A36.K_4L.png,/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_04/165070.13~A36.K_4R.png,0,4,165070,165070.13~A36.K_4,0,0,165070.13~A36.K_4L.png,165070.13~A36.K_4R.png,normal
/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_22/179083.3~A27.K_22L.png,/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_22/179083.3~A27.K_22R.png,0,22,179083,179083.3~A27.K_22,0,0,179083.3~A27.K_22L.png,179083.3~A27.K_22R.png,normal
/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_14/183426.2~A25.K_14L.png,/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_14/183426.2~A25.K_14R.png,0,14,183426,183426.2~A25.K_14,0,0,183426.2~A25.K_14L.png,183426.2~A25.K_14R.png,normal
/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_08/183214.14~A21.K_8L.png,/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_08/183214.14~A21.K_8R.png,0,8,183214,183214.14~A21.K_8,0,0,183214.14~A21.K_8L.png,183214.14~A21.K_8R.png,normal
/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_05/183786.3~A1.K_5L.png,/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_05/183786.3~A1.K_5R.png,0,5,183786,183786.3~A1.K_5,0,0,183786.3~A1.K_5L.png,183786.3~A1.K_5R.png,normal
/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_x/185290.13~A30.K_xL.png,/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_x/185290.13~A30.K_xR.png,0,X,185290,185290.13~A30.K_x,0,0,185290.13~A30.K_xL.png,185290.13~A30.K_xR.png,normal
/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_22/75263.287A.K_22L.png,/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_22/75263.287A.K_22R.png,0,22,75263,75263.287A.K_22,0,0,75263.287A.K_22L.png,75263.287A.K_22R.png,normal
/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_18/183786.12~A34.K_18L.png,/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_18/183786.12~A34.K_18R.png,0,18,183786,183786.12~A34.K_18,0,0,183786.12~A34.K_18L.png,183786.12~A34.K_18R.png,normal
/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_09/79488.3~A40.K_9L.png,/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_09/79488.3~A40.K_9R.png,0,9,79488,79488.3~A40.K_9,0,0,79488.3~A40.K_9L.png,79488.3~A40.K_9R.png,normal
/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_13/183786.13~A43.K_13L.png,/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_13/183786.13~A43.K_13R.png,0,13,183786,183786.13~A43.K_13,0,0,183786.13~A43.K_13L.png,183786.13~A43.K_13R.png,normal
/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_12/Q250870.3~A23.K_12L.png,/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_12/Q250870.3~A23.K_12R.png,0,12,Q250870,Q250870.3~A23.K_12,0,0,Q250870.3~A23.K_12L.png,Q250870.3~A23.K_12R.png,normal
/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_15/Q251136.1~A38.K_15L.png,/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_15/Q251136.1~A38.K_15R.png,0,15,Q251136,Q251136.1~A38.K_15,0,0,Q251136.1~A38.K_15L.png,Q251136.1~A38.K_15R.png,normal
/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_10/185824.1~A10.K_10L.png,/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_10/185824.1~A10.K_10R.png,0,10,185824,185824.1~A10.K_10,0,0,185824.1~A10.K_10L.png,185824.1~A10.K_10R.png,normal
/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_14/Q242664.13~A20.K_14L.png,/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_14/Q242664.13~A20.K_14R.png,0,14,Q242664,Q242664.13~A20.K_14,0,0,Q242664.13~A20.K_14L.png,Q242664.13~A20.K_14R.png,normal
/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_15/183426.12~A37.K_15L.png,/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_15/183426.12~A37.K_15R.png,0,15,183426,183426.12~A37.K_15,0,0,183426.12~A37.K_15L.png,183426.12~A37.K_15R.png,normal
